Time (ms),ADC1,ADC2
13,1.807,1.784
16,1.419,1.407
18,1.009,1.004
21,0.634,0.607
24,0.309,0.299
26,0.094,0.086
29,0.000,0.000
32,0.033,0.039
94,1.496,1.503
97,1.862,1.869
99,2.162,2.155
102,2.352,2.356
105,2.432,2.422
107,2.357,2.350
110,2.160,2.140
113,1.858,1.840
116,1.395,1.381
119,0.983,0.973
121,0.597,0.585
124,0.284,0.275
127,0.076,0.059
130,0.000,0.000
132,0.054,0.056
135,0.265,0.273
138,0.658,0.668
141,1.049,1.064
144,1.466,1.470
146,1.836,1.847
149,2.138,2.147
152,2.359,2.351
154,2.433,2.425
157,2.371,2.361
160,2.117,2.096
163,1.800,1.774
166,1.412,1.395
168,1.006,0.988
171,0.611,0.601
174,0.293,0.287
176,0.084,0.078
179,0.000,0.000
183,0.077,0.078
186,0.322,0.312
188,0.646,0.652
191,1.032,1.043
194,1.437,1.445
196,1.813,1.820
199,2.129,2.127
202,2.341,2.333
205,2.432,2.419
208,2.344,2.330
210,2.129,2.112
213,1.819,1.799
216,1.435,1.415
218,1.033,1.019
221,0.648,0.629
224,0.322,0.302
227,0.063,0.058
230,0.000,0.000
232,0.060,0.067
235,0.289,0.294
238,0.597,0.605
241,0.994,1.005
243,1.405,1.411
246,1.785,1.795
249,2.167,2.161
252,2.360,2.359
255,2.438,2.422
257,2.357,2.342
260,2.149,2.132
263,1.843,1.825
265,1.469,1.451
268,1.063,1.046
271,0.588,0.576
274,0.282,0.264
277,0.071,0.067
280,0.000,0.000
282,0.056,0.061
285,0.274,0.281
288,0.586,0.590
291,0.972,0.975
294,1.472,1.478
297,1.847,1.854
299,2.150,2.155
302,2.355,2.348
305,2.429,2.420
307,2.359,2.348
310,2.165,2.147
313,1.863,1.846
316,1.399,1.379
319,0.991,0.968
321,0.602,0.586
324,0.287,0.276
327,0.078,0.074
330,0.000,0.000
332,0.052,0.054
335,0.264,0.262
338,0.653,0.660
341,1.044,1.050
344,1.445,1.459
346,1.824,1.828
349,2.140,2.142
352,2.347,2.344
354,2.431,2.422
357,2.370,2.361
360,2.122,2.106
363,1.802,1.787
366,1.420,1.406
368,1.016,0.998
371,0.620,0.602
374,0.306,0.293
376,0.085,0.081
379,0.000,0.000
383,0.070,0.077
385,0.306,0.322
388,0.632,0.645
391,1.018,1.022
394,1.422,1.436
396,1.806,1.811
399,2.121,2.121
402,2.339,2.329
405,2.433,2.422
407,2.350,2.337
410,2.135,2.121
413,1.826,1.814
415,1.449,1.438
418,1.056,1.030
421,0.658,0.647
423,0.332,0.324
427,0.068,0.060
430,0.000,0.000
432,0.051,0.060
435,0.275,0.290
438,0.592,0.608
441,0.984,0.994
443,1.388,1.406
446,1.779,1.785
449,2.154,2.159
452,2.364,2.359
455,2.432,2.419
457,2.360,2.344
460,2.155,2.137
463,1.844,1.834
465,1.478,1.462
468,1.056,1.056
471,0.596,0.584
474,0.281,0.269
477,0.078,0.069
480,0.000,0.000
482,0.059,0.060
485,0.273,0.277
488,0.577,0.589
491,0.967,0.977
494,1.465,1.475
496,1.847,1.851
499,2.153,2.150
502,2.354,2.345
505,2.432,2.421
507,2.365,2.352
510,2.169,2.150
513,1.866,1.850
516,1.403,1.384
518,0.998,0.978
521,0.606,0.590
524,0.291,0.280
527,0.077,0.074
530,0.000,0.000
532,0.047,0.048
535,0.259,0.266
538,0.649,0.655
541,1.043,1.051
544,1.442,1.458
546,1.825,1.833
549,2.140,2.136
552,2.347,2.341
554,2.431,2.420
557,2.366,2.360
560,2.123,2.105
563,1.808,1.784
566,1.429,1.416
568,1.018,1.004
571,0.640,0.619
574,0.309,0.299
576,0.093,0.086
579,0.000,0.000
582,0.070,0.072
585,0.303,0.310
588,0.620,0.634
591,1.010,1.019
593,1.419,1.430
596,1.801,1.806
599,2.118,2.118
601,2.337,2.326
605,2.432,2.421
607,2.351,2.336
610,2.143,2.129
613,1.842,1.814
615,1.460,1.442
618,1.039,1.028
621,0.667,0.650
623,0.337,0.324
627,0.070,0.062
630,0.000,0.000
632,0.056,0.063
635,0.269,0.287
638,0.591,0.600
641,0.979,0.989
643,1.397,1.406
646,1.779,1.780
649,2.161,2.157
652,2.362,2.357
655,2.433,2.421
657,2.361,2.346
660,2.157,2.137
663,1.854,1.838
665,1.481,1.463
668,1.073,1.058
671,0.593,0.585
674,0.278,0.273
677,0.077,0.072
680,0.000,0.000
682,0.050,0.056
685,0.264,0.270
688,0.575,0.583
690,0.961,0.967
694,1.460,1.468
696,1.836,1.844
699,2.147,2.145
702,2.352,2.345
704,2.425,2.423
707,2.368,2.357
710,2.173,2.158
712,1.873,1.860
716,1.409,1.399
718,1.008,0.992
721,0.613,0.603
724,0.296,0.284
726,0.083,0.075
729,0.000,0.000
732,0.045,0.049
735,0.253,0.262
738,0.637,0.651
741,1.028,1.040
744,1.431,1.437
746,1.817,1.822
749,2.127,2.128
752,2.346,2.342
754,2.431,2.421
757,2.376,2.359
760,2.126,2.114
763,1.818,1.800
766,1.433,1.421
768,1.032,1.017
771,0.647,0.623
774,0.322,0.301
776,0.097,0.089
779,0.000,0.000
817,1.254,1.225
819,0.846,0.827
822,0.481,0.468
825,0.197,0.185
828,0.031,0.031
831,0.000,0.001
833,0.125,0.129
836,0.365,0.377
839,0.791,0.802
842,1.190,1.205
845,1.594,1.609
847,1.956,1.961
850,2.232,2.234
853,2.401,2.401
855,2.426,2.409
858,2.317,2.304
861,2.008,1.999
864,1.670,1.650
867,1.274,1.257
869,0.856,0.849
872,0.500,0.488
875,0.208,0.202
877,0.038,0.034
880,0.001,0.001
884,0.178,0.183
887,0.450,0.457
889,0.808,0.816
892,1.211,1.221
895,1.604,1.623
897,1.967,1.970
900,2.240,2.239
903,2.398,2.392
906,2.406,2.394
909,2.266,2.240
911,1.998,1.977
914,1.652,1.637
917,1.254,1.236
919,0.848,0.831
922,0.481,0.464
925,0.203,0.191
928,0.015,0.009
931,0.016,0.018
934,0.181,0.186
937,0.448,0.454
939,0.809,0.820
942,1.202,1.217
945,1.618,1.623
947,1.968,1.967
951,2.292,2.287
953,2.415,2.403
956,2.405,2.397
959,2.260,2.244
961,1.996,1.978
964,1.649,1.634
967,1.242,1.229
969,0.838,0.829
973,0.401,0.396
975,0.147,0.141
978,0.013,0.009
981,0.013,0.018
984,0.183,0.187
987,0.457,0.467
990,0.811,0.825
992,1.222,1.231
995,1.712,1.715
998,2.042,2.044
1001,2.291,2.291
1004,2.419,2.409
1006,2.403,2.393
1009,2.254,2.234
1012,1.993,1.973
1015,1.541,1.532
1017,1.145,1.134
1020,0.750,0.736
1023,0.402,0.387
1026,0.148,0.129
1028,0.005,0.004
1031,0.018,0.020
1034,0.196,0.201
1038,0.544,0.556
1040,0.922,0.935
1043,1.340,1.348
1046,1.729,1.731
1048,2.060,2.060
1051,2.307,2.300
1054,2.426,2.414
1057,2.373,2.364
1060,2.187,2.171
1062,1.905,1.889
1065,1.524,1.511
1068,1.128,1.105
1070,0.732,0.717
1073,0.390,0.372
1076,0.133,0.128
1079,0.000,0.000
1081,0.016,0.027
1084,0.208,0.215
1087,0.488,0.501
1090,0.859,0.872
1093,1.275,1.287
1095,1.671,1.680
1098,2.083,2.083
1101,2.301,2.309
1104,2.425,2.416
1106,2.398,2.381
1109,2.233,2.217
1112,1.946,1.939
1114,1.601,1.581
1117,1.192,1.177
1120,0.706,0.693
1123,0.370,0.356
1126,0.125,0.118
1129,0.001,0.005
1133,0.028,0.033
1136,0.385,0.391
1139,0.731,0.740
1142,1.125,1.144
1145,1.624,1.632
1148,1.976,1.980
1150,2.249,2.243
1153,2.403,2.394
1156,2.421,2.409
1158,2.302,2.289
1161,2.066,2.045
1164,1.651,1.621
1167,1.243,1.225
1170,0.837,0.823
1172,0.474,0.462
1175,0.196,0.187
1178,0.032,0.024
1181,0.000,0.001
1183,0.126,0.135
1187,0.447,0.453
1189,0.806,0.809
1192,1.207,1.218
1195,1.605,1.615
1197,1.963,1.967
1200,2.239,2.236
1203,2.404,2.395
1206,2.411,2.398
1209,2.257,2.249
1211,1.996,1.987
1214,1.655,1.638
1217,1.256,1.234
1219,0.845,0.830
1222,0.486,0.474
1225,0.203,0.194
1228,0.015,0.010
1231,0.011,0.014
1234,0.176,0.184
1237,0.448,0.458
1239,0.805,0.813
1242,1.211,1.215
1245,1.613,1.620
1248,2.026,2.037
1251,2.289,2.278
1253,2.421,2.410
1256,2.412,2.397
1259,2.268,2.247
1261,2.004,1.985
1264,1.657,1.637
1267,1.259,1.237
1270,0.762,0.751
1273,0.415,0.403
1275,0.154,0.149
1278,0.014,0.008
1281,0.016,0.016
1284,0.176,0.185
1287,0.452,0.450
1290,0.899,0.908
1293,1.315,1.319
1295,1.703,1.713
1298,2.037,2.040
1301,2.292,2.288
1303,2.414,2.410
1306,2.404,2.393
1309,2.258,2.247
1312,1.928,1.910
1315,1.556,1.533
1317,1.152,1.132
1320,0.757,0.741
1323,0.409,0.395
1325,0.150,0.139
1328,0.012,0.009
1332,0.039,0.042
1335,0.236,0.242
1337,0.536,0.547
1340,0.910,0.918
1343,1.323,1.332
1346,1.714,1.717
1348,2.051,2.051
1351,2.290,2.292
1354,2.432,2.409
1357,2.386,2.372
1359,2.187,2.184
1362,1.918,1.898
1365,1.550,1.531
1367,1.145,1.125
1370,0.745,0.733
1373,0.337,0.312
1376,0.102,0.099
1379,0.000,0.000
1382,0.014,0.032
1384,0.212,0.214
1387,0.503,0.512
1390,0.868,0.876
1393,1.280,1.292
1396,1.758,1.768
1399,2.090,2.090
1401,2.323,2.319
1404,2.429,2.419
1407,2.390,2.381
1409,2.227,2.212
1412,1.948,1.929
1415,1.500,1.479
1418,1.090,1.075
1421,0.695,0.682
1423,0.363,0.351
1426,0.118,0.111
1429,0.001,0.001
1432,0.030,0.034
1435,0.214,0.232
1438,0.596,0.602
1441,0.979,0.992
1443,1.393,1.402
1446,1.781,1.786
1449,2.101,2.104
1451,2.327,2.322
1454,2.428,2.421
1457,2.359,2.347
1460,2.149,2.132
1463,1.852,1.833
1465,1.482,1.460
1468,1.076,1.057
1471,0.675,0.667
1473,0.347,0.339
1476,0.111,0.101
1479,0.000,0.000
1482,0.038,0.044
1485,0.236,0.243
1487,0.540,0.545
1490,0.909,0.921
1493,1.327,1.336
1496,1.717,1.719
1498,2.056,2.055
1533,0.126,0.134
1536,0.374,0.387
1539,0.718,0.723
1542,1.115,1.127
1544,1.518,1.538
1547,1.892,1.897
1550,2.183,2.183
1553,2.398,2.393
1555,2.425,2.414
1558,2.309,2.293
1561,2.069,2.051
1563,1.743,1.725
1566,1.352,1.333
1569,0.950,0.926
1572,0.491,0.476
1575,0.198,0.190
1577,0.034,0.032
1580,0.001,0.001
1584,0.133,0.139
1586,0.381,0.396
1589,0.728,0.734
1592,1.139,1.139
1595,1.625,1.634
1598,1.983,1.985
1600,2.249,2.248
1603,2.401,2.393
1606,2.419,2.409
1608,2.298,2.286
1611,2.057,2.043
1614,1.635,1.625
1617,1.237,1.220
1620,0.835,0.818
1622,0.472,0.459
1625,0.197,0.181
1628,0.029,0.022
1631,0.002,0.005
1634,0.135,0.147
1637,0.471,0.480
1640,0.833,0.844
1642,1.240,1.243
1645,1.637,1.647
1648,1.991,1.992
1650,2.255,2.254
1653,2.408,2.398
1656,2.405,2.390
1659,2.244,2.233
1662,1.977,1.957
1664,1.629,1.610
1667,1.225,1.209
1670,0.813,0.805
1672,0.464,0.449
1675,0.192,0.177
1678,0.009,0.008
1681,0.022,0.026
1684,0.201,0.208
1687,0.483,0.492
1690,0.840,0.856
1692,1.259,1.257
1695,1.653,1.664
1698,2.068,2.071
1701,2.309,2.304
1704,2.420,2.410
1706,2.403,2.387
1709,2.242,2.228
1712,1.971,1.952
1714,1.605,1.592
1717,1.211,1.193
1720,0.724,0.712
1723,0.384,0.371
1726,0.134,0.126
1728,0.005,0.003
1731,0.024,0.024
1734,0.208,0.214
1737,0.496,0.503
1740,0.953,0.963
1743,1.362,1.371
1746,1.751,1.754
1748,2.079,2.078
1751,2.315,2.308
1754,2.426,2.415
1756,2.397,2.379
1759,2.232,2.212
1762,1.884,1.865
1765,1.509,1.496
1768,1.109,1.084
1770,0.713,0.692
1773,0.365,0.354
1776,0.126,0.116
1778,0.000,0.001
1782,0.044,0.045
1785,0.250,0.255
1788,0.554,0.558
1790,0.932,0.947
1793,1.346,1.357
1796,1.736,1.742
1798,2.063,2.064
1801,2.306,2.296
1804,2.434,2.421
1807,2.379,2.364
1810,2.187,2.172
1812,1.895,1.873
1815,1.528,1.509
1818,1.121,1.103
1820,0.726,0.710
1824,0.322,0.302
1826,0.094,0.080
1829,0.000,0.000
1832,0.039,0.041
1835,0.232,0.244
1837,0.536,0.547
1840,0.912,0.922
1843,1.326,1.337
1846,1.788,1.801
1849,2.109,2.112
1851,2.340,2.325
1854,2.431,2.422
1857,2.383,2.368
1859,2.187,2.184
1862,1.911,1.896
1865,1.542,1.527
1868,1.050,1.033
1871,0.656,0.644
1873,0.335,0.307
1876,0.091,0.091
1879,0.000,0.000
1882,0.033,0.039
1885,0.221,0.231
1888,0.598,0.607
1891,0.979,0.997
1893,1.403,1.412
1896,1.786,1.790
1899,2.109,2.108
1901,2.331,2.319
1904,2.435,2.422
1907,2.390,2.364
1910,2.152,2.141
1913,1.847,1.833
1915,1.471,1.456
1918,1.064,1.049
1921,0.674,0.663
1923,0.341,0.332
1926,0.108,0.101
1929,0.000,0.000
1932,0.034,0.039
1935,0.239,0.249
1938,0.538,0.548
1940,0.906,0.918
1943,1.322,1.335
1946,1.723,1.728
1948,2.051,2.059
1951,2.339,2.336
1954,2.423,2.406
1957,2.379,2.366
1960,2.187,2.183
1962,1.914,1.896
1965,1.534,1.522
1968,1.138,1.123
1971,0.653,0.645
1974,0.312,0.310
1976,0.104,0.095
1979,0.000,0.000
1982,0.030,0.033
1985,0.214,0.221
1987,0.507,0.518
1990,0.877,0.888
1993,1.380,1.391
1996,1.769,1.775
1999,2.089,2.092
2001,2.323,2.310
2004,2.422,2.419
2007,2.392,2.381
2009,2.227,2.210
2013,1.868,1.848
2015,1.491,1.477
2018,1.080,1.064
2021,0.691,0.677
2023,0.356,0.348
2026,0.116,0.112
2029,0.001,0.001
2032,0.028,0.032
2035,0.277,0.281
2038,0.597,0.603
2041,0.986,0.995
2043,1.399,1.406
2046,1.769,1.786
2049,2.117,2.106
2051,2.320,2.327
2055,2.432,2.420
2057,2.361,2.344
2060,2.156,2.143
2063,1.845,1.836
2065,1.481,1.463
2068,1.073,1.059
2071,0.671,0.662
2073,0.348,0.338
2077,0.076,0.066
2080,0.000,0.000
2082,0.050,0.052
2085,0.270,0.269
2088,0.572,0.585
2090,0.961,0.974
2093,1.374,1.384
2096,1.836,1.842
2099,2.149,2.144
2102,2.344,2.349
2104,2.432,2.422
2107,2.370,2.348
2110,2.167,2.153
2112,1.873,1.850
2115,1.499,1.485
2118,1.005,0.987
2121,0.603,0.595
2124,0.292,0.277
2127,0.077,0.071
2129,0.000,0.000
2132,0.051,0.049
2135,0.253,0.266
2138,0.645,0.652
2141,1.040,1.049
2144,1.449,1.455
2146,1.823,1.828
2149,2.128,2.139
2152,2.347,2.344
2154,2.433,2.421
2157,2.371,2.355
2160,2.122,2.110
2163,1.812,1.794
2166,1.426,1.406
2168,1.023,1.006
2171,0.640,0.621
2174,0.307,0.300
2176,0.092,0.087
2180,0.000,0.000
2182,0.068,0.072
2185,0.299,0.310
2188,0.608,0.633
2191,1.006,1.022
2193,1.419,1.427
2196,1.800,1.805
2199,2.117,2.121
2236,0.362,0.354
2239,0.695,0.703
2241,1.095,1.105
2244,1.501,1.507
2247,1.869,1.880
2249,2.165,2.167
2252,2.367,2.354
2255,2.426,2.414
2258,2.315,2.304
2261,2.086,2.068
2265,1.763,1.741
2268,1.138,1.122
2270,0.743,0.724
2273,0.395,0.388
2276,0.145,0.135
2279,0.000,0.000
2281,0.011,0.018
2284,0.199,0.207
2287,0.485,0.496
2290,0.850,0.855
2292,1.259,1.271
2295,1.658,1.658
2298,2.072,2.068
2301,2.309,2.309
2304,2.426,2.416
2306,2.401,2.384
2309,2.239,2.221
2312,1.968,1.946
2314,1.611,1.581
2317,1.198,1.188
2320,0.716,0.702
2323,0.378,0.363
2326,0.128,0.120
2328,0.000,0.001
2331,0.020,0.025
2334,0.196,0.202
2337,0.473,0.484
2340,0.928,0.934
2343,1.344,1.354
2346,1.734,1.738
2348,2.066,2.066
2351,2.309,2.296
2354,2.427,2.415
2356,2.405,2.380
2359,2.244,2.228
2362,1.889,1.882
2365,1.525,1.510
2368,1.121,1.107
2370,0.723,0.711
2373,0.386,0.366
2376,0.134,0.126
2378,0.007,0.005
2382,0.049,0.050
2385,0.259,0.266
2388,0.566,0.575
2390,0.950,0.952
2393,1.359,1.376
2396,1.749,1.756
2398,2.077,2.082
2401,2.313,2.309
2404,2.432,2.420
2407,2.369,2.357
2410,2.175,2.156
2412,1.883,1.860
2415,1.503,1.489
2418,1.096,1.086
2420,0.702,0.689
2423,0.366,0.359
2426,0.087,0.079
2429,0.000,0.000
2432,0.043,0.041
2435,0.250,0.256
2438,0.556,0.566
2440,0.937,0.934
2443,1.344,1.359
2446,1.821,1.821
2449,2.133,2.132
2452,2.345,2.333
2454,2.427,2.423
2457,2.376,2.360
2460,2.184,2.169
2462,1.897,1.868
2465,1.523,1.508
2468,1.022,1.010
2471,0.641,0.624
2474,0.322,0.304
2476,0.079,0.089
2479,0.000,0.000
2482,0.032,0.041
2485,0.236,0.241
2488,0.617,0.619
2491,1.011,1.022
2493,1.415,1.426
2496,1.799,1.802
2499,2.115,2.115
2501,2.335,2.332
2504,2.430,2.417
2507,2.382,2.365
2510,2.143,2.127
2513,1.835,1.815
2515,1.459,1.436
2518,1.054,1.032
2521,0.663,0.641
2523,0.333,0.322
2526,0.104,0.099
2530,0.000,0.000
2532,0.049,0.060
2535,0.272,0.277
2538,0.582,0.586
2541,0.968,0.978
2543,1.380,1.381
2546,1.765,1.773
2549,2.091,2.082
2552,2.357,2.346
2555,2.433,2.421
2557,2.367,2.342
2560,2.167,2.149
2563,1.866,1.848
2565,1.492,1.476
2568,1.084,1.073
2571,0.611,0.592
2574,0.282,0.280
2577,0.078,0.072
2580,0.000,0.000
2582,0.049,0.050
2585,0.259,0.265
2588,0.566,0.574
2590,0.951,0.951
2594,1.445,1.458
2596,1.829,1.836
2599,2.139,2.139
2602,2.354,2.345
2604,2.431,2.413
2607,2.372,2.357
2610,2.177,2.158
2613,1.802,1.787
2616,1.423,1.403
2618,1.016,1.000
2621,0.619,0.611
2624,0.305,0.296
2626,0.090,0.083
2629,0.000,0.000
2632,0.039,0.045
2635,0.292,0.306
2638,0.621,0.634
2641,1.015,1.024
2643,1.420,1.428
2646,1.802,1.804
