Time (ms),ADC1,ADC2
5,2.066,2.078
8,2.494,2.484
10,2.500,2.500
13,2.500,2.500
16,2.500,2.500
18,2.500,2.500
21,2.406,2.395
24,1.989,1.972
86,0.093,0.092
89,0.000,0.000
91,0.055,0.065
94,0.306,0.322
97,0.664,0.679
100,1.114,1.129
102,1.598,1.613
105,2.068,2.072
108,2.500,2.500
111,2.500,2.500
114,2.500,2.500
116,2.500,2.500
119,2.500,2.500
122,2.303,2.283
124,1.884,1.846
127,1.376,1.354
130,0.806,0.786
133,0.409,0.385
136,0.122,0.120
138,0.000,0.001
141,0.034,0.042
144,0.262,0.271
147,0.622,0.634
149,1.069,1.084
153,1.666,1.678
155,2.140,2.137
158,2.500,2.500
161,2.500,2.500
163,2.500,2.500
166,2.500,2.500
169,2.500,2.500
171,2.347,2.326
175,1.804,1.780
177,1.309,1.294
180,0.844,0.827
183,0.438,0.420
185,0.150,0.143
188,0.007,0.005
191,0.038,0.042
194,0.270,0.275
197,0.716,0.729
200,1.179,1.187
203,1.668,1.674
205,2.136,2.139
208,2.500,2.500
211,2.500,2.500
213,2.500,2.500
216,2.500,2.500
219,2.500,2.500
222,2.257,2.233
225,1.802,1.778
227,1.316,1.287
230,0.846,0.828
233,0.442,0.428
235,0.149,0.137
238,0.005,0.006
242,0.066,0.074
245,0.341,0.348
247,0.712,0.725
250,1.174,1.187
253,1.662,1.674
255,2.123,2.131
258,2.500,2.500
261,2.500,2.500
264,2.500,2.500
267,2.500,2.500
269,2.500,2.500
272,2.261,2.239
275,1.813,1.793
277,1.328,1.310
280,0.852,0.834
283,0.448,0.438
286,0.105,0.098
289,0.000,0.000
291,0.050,0.050
294,0.285,0.283
297,0.647,0.656
300,1.084,1.100
302,1.579,1.590
305,2.045,2.056
308,2.500,2.500
311,2.500,2.500
313,2.500,2.500
316,2.500,2.500
319,2.500,2.500
321,2.328,2.310
324,1.884,1.855
327,1.405,1.386
330,0.819,0.803
333,0.420,0.407
335,0.136,0.129
338,0.000,0.002
341,0.031,0.032
344,0.255,0.268
347,0.603,0.613
349,1.046,1.058
353,1.641,1.656
355,2.108,2.118
358,2.500,2.500
361,2.500,2.500
363,2.500,2.500
366,2.500,2.500
369,2.500,2.500
371,2.371,2.349
374,1.830,1.811
377,1.347,1.323
380,0.870,0.841
382,0.459,0.438
385,0.161,0.156
388,0.009,0.005
391,0.022,0.039
394,0.252,0.261
397,0.686,0.693
400,1.145,1.153
403,1.625,1.639
405,2.097,2.098
408,2.498,2.500
411,2.500,2.500
413,2.500,2.500
416,2.500,2.500
419,2.500,2.500
422,2.278,2.258
424,1.835,1.814
427,1.353,1.332
430,0.872,0.858
432,0.465,0.444
435,0.166,0.156
438,0.009,0.005
441,0.059,0.066
444,0.308,0.322
447,0.679,0.693
450,1.141,1.152
452,1.619,1.632
455,2.089,2.099
