Time (us),ADC1,ADC2
5268,0.256,0.000
6760,2.237,2.422
8272,0.132,0.000
9751,2.199,2.419
11263,0.170,0.000
12759,2.226,2.421
14271,0.144,0.000
15749,2.177,2.420
17264,0.166,0.000
18750,2.198,2.421
20262,0.173,0.000
21741,2.139,2.412
23249,0.215,0.000
24731,2.085,2.396
26244,0.248,0.000
27729,2.088,2.400
29237,0.288,0.008
30996,1.969,1.331
32507,0.552,1.199
34055,1.532,0.850
35593,1.194,1.845
37120,1.055,0.427
38640,1.561,2.126
40161,0.752,0.215
41674,1.775,2.266
43191,0.536,0.098
44893,2.403,2.053
46399,0.057,0.448
48136,0.972,0.366
49665,1.726,2.232
51174,0.646,0.150
52693,1.907,2.328
54206,0.451,0.057
55916,2.338,1.902
57432,0.140,0.612
58965,2.118,1.548
60460,0.277,0.848
62001,1.918,1.275
63508,0.551,1.207
65054,1.559,0.867
66582,1.118,1.779
68106,1.170,0.514
69635,1.504,2.078
71144,0.862,0.288
72665,1.710,2.220
74180,0.629,0.143
75705,1.979,2.361
77226,0.352,0.024
78916,2.359,1.946
80430,0.148,0.632
81969,2.107,1.519
83470,0.322,0.913
85003,1.924,1.277
86502,0.519,1.164
88046,1.634,0.949
89582,1.095,1.762
91105,1.167,0.516
92628,1.440,2.044
94151,0.838,0.273
95679,1.807,2.277
97203,0.486,0.072
98888,2.407,2.088
100404,0.067,0.468
102157,0.795,0.244
103678,1.803,2.283
105305,0.028,0.052
107105,1.178,0.523
108678,1.685,2.222
110186,0.553,0.105
111705,1.967,2.357
113218,0.360,0.029
114911,2.365,1.953
116440,0.171,0.664
117962,2.115,1.526
119475,0.339,0.926
121002,1.897,1.240
122515,0.585,1.241
124046,1.592,0.903
125594,1.167,1.823
127105,1.133,0.486
128651,1.602,2.161
130152,0.795,0.246
131690,1.852,2.305
133186,0.563,0.110
134723,2.046,2.383
136218,0.359,0.026
137926,2.317,1.850
139453,0.221,0.756
140978,2.042,1.432
142484,0.393,1.008
144012,1.835,1.165
145542,0.752,1.431
147063,1.458,0.774
148612,1.294,1.920
150111,1.105,0.468
151656,1.645,2.176
153167,0.695,0.181
154718,2.016,2.375
156222,0.346,0.024
157921,2.317,1.874
159440,0.186,0.680
160968,2.087,1.492
162487,0.418,1.038
164016,1.790,1.123
165550,0.823,1.504
167069,1.403,0.720
168601,1.215,1.856
170106,1.134,0.489
171650,1.609,2.150
173161,0.725,0.198
174699,1.919,2.335
176206,0.423,0.039
177907,2.364,1.963
179435,0.157,0.650
180966,2.100,1.504
182483,0.391,1.011
184008,1.846,1.184
185533,0.698,1.374
187068,1.410,0.729
188612,1.307,1.939
190119,1.033,0.407
191657,1.661,2.194
193164,0.712,0.188
194708,1.963,2.355
196206,0.421,0.039
197898,2.386,2.009
199426,0.124,0.573
200945,2.208,1.666
202463,0.280,0.851
204009,1.843,1.185
205531,0.675,1.353
207060,1.469,0.790
208608,1.270,1.911
210116,1.061,0.426
211649,1.594,2.149
213158,0.747,0.215
214693,1.858,2.311
216188,0.534,0.092
217896,2.390,2.031
219421,0.102,0.539
220933,2.258,1.749
222457,0.242,0.799
223987,1.994,1.366
225522,0.628,1.298
227058,1.501,0.815
228601,1.209,1.858
230113,1.099,0.456
231662,1.675,2.187
233174,0.643,0.147
234718,2.008,2.375
236221,0.360,0.020
237918,2.332,1.894
239443,0.187,0.701
240966,2.098,1.500
242481,0.389,1.000
244007,1.851,1.192
245536,0.721,1.399
247065,1.435,0.747
248612,1.302,1.937
250125,0.985,0.374
251668,1.719,2.227
253177,0.607,0.137
254712,1.995,2.364
256221,0.336,0.020
257922,2.311,1.857
259446,0.201,0.721
260964,2.087,1.513
262482,0.396,1.007
264012,1.817,1.161
265538,0.729,1.408
267067,1.416,0.734
268600,1.233,1.889
270112,1.088,0.450
271656,1.651,2.180
273168,0.679,0.172
274722,2.051,2.386
276223,0.312,0.015
277907,2.364,1.964
279435,0.154,0.638
